Frame,QueueDensity,DynamicDensity
6,0.0863691,0.0974552
7,0.0944652,0.0889672
8,0.0995634,0.0847271
9,0.102702,0.104971
10,0.107432,0.103807
11,0.110046,0.0447324
12,0.11083,0.110414
13,0.112413,0.0916985
14,0.114557,0.109925
15,0.114627,0.0972592
16,0.116461,0.0716346
17,0.118146,0.0792487
18,0.118405,0.0592161
19,0.119349,0.0624687
20,0.119196,0.074989
21,0.119772,0.0754671
22,0.120701,0.0825248
23,0.121042,0.0859106
24,0.120925,0.0793976
25,0.1221,0.0729552
26,0.124647,0.0791664
27,0.125784,0.0796837
28,0.128731,0.0686172
29,0.132473,0.0933287
30,0.133147,0.0754789
31,0.134534,0.0671672
32,0.135671,0.0813295
33,0.136012,0.0779359
34,0.136204,0.0976981
35,0.136243,0.11157
36,0.136936,0.0925685
37,0.136811,0.0969026
38,0.137705,0.110171
39,0.138359,0.116406
40,0.138398,0.120356
41,0.139444,0.107111
42,0.140154,0.114945
43,0.141028,0.124393
44,0.141478,0.109639
45,0.14323,0.121508
46,0.143246,0.132406
47,0.143877,0.12808
48,0.143779,0.129271
49,0.144997,0.122057
50,0.145495,0.111151
51,0.146467,0.105442
52,0.146851,0.109909
53,0.147231,0.101719
54,0.147584,0.0857225
55,0.14814,0.077497
56,0.148242,0.09124
57,0.148387,0.0767094
58,0.14903,0.0714112
59,0.149371,0.0815412
60,0.149641,0.076098
61,0.150919,0.0784885
62,0.151726,0.0831322
63,0.151792,0.0632054
64,0.15347,0.051457
65,0.154257,0.046684
66,0.155143,0.0459081
67,0.156127,0.0500423
68,0.156644,0.046441
69,0.157004,0.0444542
70,0.155778,0.0404845
71,0.156852,0.0434118
72,0.157898,0.0448813
73,0.159073,0.0435999
74,0.159591,0.0462451
75,0.159587,0.0425889
76,0.159681,0.0393794
77,0.15858,0.048083
78,0.158376,0.0432943
79,0.157671,0.0468133
80,0.158682,0.047115
81,0.158752,0.0490391
82,0.159273,0.0559753
83,0.160453,0.0542902
84,0.161127,0.0509123
85,0.166981,0.074554
86,0.173381,0.0653568
87,0.176469,0.0712153
88,0.18304,0.0748088
89,0.18895,0.0685545
90,0.191603,0.0754201
91,0.197281,0.0857734
92,0.201819,0.0974238
93,0.203602,0.0641733
94,0.205009,0.0789783
95,0.203963,0.0718462
96,0.205448,0.0766741
97,0.205828,0.0824581
98,0.207141,0.0865493
99,0.207376,0.055121
100,0.208442,0.0536045
101,0.209504,0.0623824
102,0.210084,0.0627861
103,0.211353,0.0734568
104,0.210981,0.0652627
105,0.210899,0.0711683
106,0.209868,0.0861378
107,0.209331,0.088783
108,0.209825,0.0907659
109,0.213097,0.0804204
110,0.217337,0.0824856
111,0.219924,0.0679745
112,0.224528,0.057194
113,0.229003,0.0747226
114,0.230692,0.0659407
115,0.233976,0.0746403
116,0.236135,0.0749381
117,0.237531,0.0912753
118,0.240744,0.0880306
119,0.242594,0.0879013
120,0.240791,0.108443
121,0.241387,0.11331
122,0.241841,0.124275
123,0.241496,0.130416
124,0.242292,0.120078
125,0.243393,0.129816
126,0.244138,0.116496
127,0.245439,0.111418
128,0.246861,0.13685
129,0.247582,0.101056
130,0.248715,0.0926116
131,0.249161,0.11623
132,0.249851,0.114909
133,0.251356,0.111171
134,0.251752,0.116602
135,0.25279,0.113181
136,0.254777,0.117304
137,0.256752,0.115552
138,0.257743,0.126458
139,0.258629,0.120058
140,0.260189,0.126556
141,0.260267,0.131066
142,0.259836,0.127367
143,0.259801,0.127802
144,0.259954,0.12549
145,0.259193,0.120607
146,0.257504,0.134738
147,0.257305,0.105351
148,0.255134,0.0960601
149,0.253738,0.114447
150,0.252563,0.0838219
151,0.251689,0.092976
152,0.250157,0.0874349
153,0.249189,0.0950177
154,0.247696,0.0982193
155,0.24614,0.10097
156,0.245599,0.0997476
157,0.24382,0.0972827
158,0.242754,0.0934306
159,0.241939,0.0955585
160,0.240622,0.0844606
161,0.240082,0.0934776
162,0.238996,0.0935364
163,0.237734,0.0888653
164,0.236324,0.0929996
165,0.236041,0.0915849
166,0.235763,0.0984858
167,0.235606,0.0904563
168,0.235458,0.08526
169,0.234407,0.0892337
170,0.233784,0.0990814
171,0.233631,0.097706
172,0.232852,0.0969379
173,0.232178,0.093411
174,0.232115,0.0923059
175,0.232279,0.0771247
176,0.232326,0.085793
177,0.231825,0.0796641
178,0.231335,0.0808201
179,0.231355,0.0882226
180,0.231582,0.0874977
181,0.231457,0.0874193
182,0.231214,0.086083
183,0.230857,0.0793427
184,0.231359,0.0834182
185,0.230626,0.0827521
186,0.230449,0.0864592
187,0.229383,0.0780809
188,0.228999,0.0762548
189,0.229301,0.0699143
190,0.229286,0.075134
191,0.229415,0.0738291
192,0.229227,0.0700828
193,0.228533,0.0660151
194,0.22849,0.0586283
195,0.230101,0.0475735
196,0.230489,0.0398222
197,0.230767,0.0606621
198,0.230794,0.0294689
199,0.230481,0.035014
200,0.230665,0.0163451
201,0.230732,0.0159493
202,0.230818,0.0162784
203,0.231108,0.0138214
204,0.231453,0.0153262
205,0.231421,0.0200522
206,0.230841,0.0160081
207,0.230732,0.0140604
208,0.230563,0.013312
209,0.230567,0.0124812
210,0.230614,0.0135902
211,0.230994,0.0156005
212,0.230951,0.0209966
213,0.231119,0.0222153
214,0.230673,0.0228149
215,0.230551,0.0179165
216,0.230355,0.0199856
217,0.229975,0.014711
218,0.230034,0.0168702
219,0.230195,0.0146326
220,0.23014,0.0483181
221,0.230367,0.0356723
222,0.23014,0.0401514
223,0.230058,0.0288576
224,0.229673,0.0187669
225,0.229313,0.0182026
226,0.229376,0.0179204
227,0.229591,0.0185082
228,0.229576,0.0177401
229,0.229133,0.025366
230,0.229286,0.0196564
231,0.229301,0.0167565
232,0.22936,0.0169054
233,0.22974,0.015722
234,0.229744,0.0186924
235,0.230022,0.0210084
236,0.23012,0.0146483
237,0.229783,0.0190333
238,0.229246,0.0189628
239,0.228263,0.0180458
240,0.22744,0.0151067
241,0.227522,0.0166272
242,0.228416,0.0206596
243,0.228251,0.0114545
244,0.228909,0.0131905
245,0.227373,0.0300293
246,0.227416,0.0156946
247,0.22764,0.0154281
248,0.22744,0.0106355
249,0.227385,0.00938147
250,0.227056,0.0152557
251,0.227024,0.0172268
252,0.226903,0.0126771
253,0.226597,0.0118699
254,0.226327,0.00532165
255,0.226339,0.00402847
256,0.226327,0.00739466
257,0.226182,0.00809612
258,0.226252,0.00470641
259,0.226468,0.00871528
260,0.226495,0.0076533
261,0.226456,0.00880149
262,0.226166,0.0136803
263,0.226437,0.0172307
264,0.22655,0.0233596
265,0.226562,0.023054
266,0.226346,0.0140291
267,0.226397,0.0152282
268,0.226264,0.0130886
269,0.226323,0.0136921
270,0.225551,0.0307386
271,0.225551,0.025127
272,0.225324,0.0210201
273,0.225367,0.0366637
274,0.225512,0.0494545
275,0.225786,0.0141937
276,0.225708,0.0134609
277,0.224924,0.0118032
278,0.224105,0.0020691
279,0.223313,0.00574096
280,0.222918,0.00341322
281,0.222632,0.00489059
282,0.222541,0.00916594
283,0.222275,0.0102593
284,0.222596,0.010514
285,0.222404,0.0124929
286,0.222843,0.0054784
287,0.223086,0.0117053
288,0.222925,0.00660308
289,0.222882,0.00831557
290,0.222494,0.0157416
291,0.222432,0.0172033
292,0.222522,0.0224779
293,0.222526,0.0233204
294,0.222518,0.0177558
295,0.222451,0.047742
296,0.22278,0.0426712
297,0.222788,0.0474795
298,0.222537,0.0414877
299,0.222392,0.0453516
300,0.222522,0.0247508
301,0.222608,0.0277525
302,0.222867,0.0284853
303,0.222714,0.0502108
304,0.223129,0.044317
305,0.223411,0.0228227
306,0.223619,0.0193429
307,0.223791,0.0343713
308,0.224387,0.0133472
309,0.224097,0.0145464
310,0.224513,0.0273959
311,0.225947,0.013359
312,0.225849,0.0164626
313,0.225324,0.016396
314,0.226985,0.0156867
315,0.227546,0.0148873
316,0.228004,0.0185866
317,0.227785,0.0144249
318,0.22764,0.015193
319,0.227228,0.0157377
320,0.227851,0.0484121
321,0.228137,0.0435607
322,0.227832,0.0457435
323,0.227706,0.053914
324,0.228114,0.0267062
325,0.228584,0.0252524
326,0.228643,0.0288733
327,0.228608,0.0258127
328,0.228659,0.0291515
329,0.228576,0.0247586
330,0.228733,0.0221918
331,0.228753,0.0206361
332,0.228517,0.0233008
333,0.228455,0.0212827
334,0.228768,0.0197465
335,0.228635,0.0180497
336,0.228709,0.0127046
337,0.228608,0.00947943
338,0.228521,0.014468
339,0.228819,0.0139625
340,0.229137,0.0101731
341,0.229321,0.0139311
342,0.229889,0.0186219
343,0.231186,0.019676
344,0.233083,0.0119992
345,0.233545,0.0168271
346,0.234972,0.0212709
347,0.237056,0.0318123
348,0.238267,0.036456
349,0.238259,0.0409665
350,0.238083,0.0399712
351,0.237538,0.0379177
352,0.237339,0.0424674
353,0.237468,0.0444072
354,0.237472,0.0444581
355,0.237009,0.0434667
356,0.236978,0.0401945
357,0.236919,0.0382195
358,0.236998,0.037616
359,0.23717,0.0350022
360,0.237292,0.035543
361,0.237503,0.0350453
362,0.237625,0.0337325
363,0.237777,0.0356057
364,0.237617,0.0360289
365,0.237578,0.0374749
366,0.237405,0.0317653
367,0.237605,0.0333171
368,0.237378,0.0335758
369,0.237241,0.0346965
370,0.237295,0.0366794
371,0.237288,0.0354842
372,0.237476,0.035206
373,0.237358,0.0340852
374,0.237448,0.0340147
375,0.237194,0.0317849
376,0.236653,0.0324354
377,0.235873,0.0333446
378,0.235626,0.0308248
