Frame,QueueDensity,DynamicDensity
51,0.141988,0.129409
52,0.141988,0.129409
53,0.141988,0.129409
54,0.141988,0.129409
55,0.141988,0.129409
56,0.141988,0.129409
57,0.141988,0.129409
58,0.141988,0.129409
59,0.141988,0.129409
60,0.141988,0.129409
61,0.144821,0.129945
62,0.144821,0.129945
63,0.144821,0.129945
64,0.144821,0.129945
65,0.144821,0.129945
66,0.144821,0.129945
67,0.144821,0.129945
68,0.144821,0.129945
69,0.144821,0.129945
70,0.144821,0.129945
71,0.149798,0.0918866
72,0.149798,0.0918866
73,0.149798,0.0918866
74,0.149798,0.0918866
75,0.149798,0.0918866
76,0.149798,0.0918866
77,0.149798,0.0918866
78,0.149798,0.0918866
79,0.149798,0.0918866
80,0.149798,0.0918866
81,0.150103,0.197626
82,0.150103,0.197626
83,0.150103,0.197626
84,0.150103,0.197626
85,0.150103,0.197626
86,0.150103,0.197626
87,0.150103,0.197626
88,0.150103,0.197626
89,0.150103,0.197626
90,0.150103,0.197626
91,0.196615,0.202293
92,0.196615,0.202293
93,0.196615,0.202293
94,0.196615,0.202293
95,0.196615,0.202293
96,0.196615,0.202293
97,0.196615,0.202293
98,0.196615,0.202293
99,0.196615,0.202293
100,0.196615,0.202293
101,0.207968,0.155523
102,0.207968,0.155523
103,0.207968,0.155523
104,0.207968,0.155523
105,0.207968,0.155523
106,0.207968,0.155523
107,0.207968,0.155523
108,0.207968,0.155523
109,0.207968,0.155523
110,0.207968,0.155523
111,0.222083,0.106504
112,0.222083,0.106504
113,0.222083,0.106504
114,0.222083,0.106504
115,0.222083,0.106504
116,0.222083,0.106504
117,0.222083,0.106504
118,0.222083,0.106504
119,0.222083,0.106504
120,0.222083,0.106504
121,0.245443,0.112852
122,0.245443,0.112852
123,0.245443,0.112852
124,0.245443,0.112852
125,0.245443,0.112852
126,0.245443,0.112852
127,0.245443,0.112852
128,0.245443,0.112852
129,0.245443,0.112852
130,0.245443,0.112852
131,0.250216,0.124385
132,0.250216,0.124385
133,0.250216,0.124385
134,0.250216,0.124385
135,0.250216,0.124385
136,0.250216,0.124385
137,0.250216,0.124385
138,0.250216,0.124385
139,0.250216,0.124385
140,0.250216,0.124385
141,0.259797,0.145797
142,0.259797,0.145797
143,0.259797,0.145797
144,0.259797,0.145797
145,0.259797,0.145797
146,0.259797,0.145797
147,0.259797,0.145797
148,0.259797,0.145797
149,0.259797,0.145797
150,0.259797,0.145797
151,0.250431,0.169454
152,0.250431,0.169454
153,0.250431,0.169454
154,0.250431,0.169454
155,0.250431,0.169454
156,0.250431,0.169454
157,0.250431,0.169454
158,0.250431,0.169454
159,0.250431,0.169454
160,0.250431,0.169454
161,0.237907,0.148352
162,0.237907,0.148352
163,0.237907,0.148352
164,0.237907,0.148352
165,0.237907,0.148352
166,0.237907,0.148352
167,0.237907,0.148352
168,0.237907,0.148352
169,0.237907,0.148352
170,0.237907,0.148352
171,0.230994,0.203637
172,0.230994,0.203637
173,0.230994,0.203637
174,0.230994,0.203637
175,0.230994,0.203637
176,0.230994,0.203637
177,0.230994,0.203637
178,0.230994,0.203637
179,0.230994,0.203637
180,0.230994,0.203637
181,0.228866,0.189785
