Frame,QueueDensity,DynamicDensity
6,0.0942657,0.226294
7,0.1,0.274825
8,0.106713,0.315245
9,0.108951,0.346014
10,0.113706,0.278042
11,0.113986,0.144895
12,0.116364,0.243776
13,0.11972,0.277483
14,0.12028,0.343357
15,0.119301,0.311748
16,0.121818,0.357762
17,0.121678,0.283916
18,0.123497,0.197762
19,0.122937,0.195664
20,0.122657,0.233427
21,0.122517,0.222657
22,0.127413,0.219301
23,0.124196,0.227273
24,0.123636,0.207692
25,0.126294,0.205734
26,0.127692,0.223217
27,0.129231,0.221259
28,0.132448,0.218881
29,0.134685,0.235385
30,0.132867,0.193007
31,0.135245,0.178182
32,0.136643,0.218042
33,0.134825,0.215944
34,0.133706,0.17972
35,0.133566,0.16951
36,0.132308,0.219021
37,0.13021,0.194965
38,0.132587,0.256783
39,0.131189,0.226434
40,0.132587,0.247832
41,0.135804,0.246993
42,0.133566,0.256503
43,0.134965,0.25021
44,0.139021,0.236643
45,0.138182,0.236643
46,0.132727,0.272308
47,0.136643,0.224755
48,0.135944,0.247413
49,0.139021,0.268811
50,0.134545,0.242517
51,0.136923,0.223077
52,0.139021,0.242937
53,0.138322,0.241958
54,0.135245,0.237762
55,0.134685,0.222378
56,0.135245,0.236503
57,0.136643,0.232028
58,0.136364,0.207692
59,0.132867,0.213706
60,0.133007,0.201538
61,0.133147,0.194266
62,0.133007,0.20965
63,0.134266,0.201818
64,0.134545,0.177762
65,0.134126,0.119441
66,0.134545,0.0883916
67,0.134825,0.101399
68,0.133427,0.183357
69,0.134406,0.14993
70,0.135105,0.0974825
71,0.134545,0.0924475
72,0.136783,0.0904895
73,0.136504,0.079021
74,0.138042,0.120839
75,0.138322,0.0321678
76,0.139301,0.00979021
77,0.136923,0.0121678
78,0.137343,0.0321678
79,0.142238,0.0478322
80,0.140699,0.0191608
81,0.143217,0.0106294
82,0.143357,0.014965
83,0.145315,0.0176224
84,0.147552,0.0335664
85,0.153287,0.0504895
86,0.16042,0.047972
87,0.164336,0.0581818
88,0.172587,0.0451748
89,0.18042,0.0857343
90,0.183077,0.0630769
91,0.185734,0.0706294
92,0.188951,0.11007
93,0.192448,0.100839
94,0.18979,0.109231
95,0.18951,0.187832
96,0.19007,0.125175
97,0.189371,0.139301
98,0.188951,0.158042
99,0.191189,0.134406
100,0.192448,0.147692
101,0.193706,0.13972
102,0.193287,0.154406
103,0.192168,0.162937
104,0.192028,0.163357
105,0.191329,0.153986
106,0.18951,0.144755
107,0.191608,0.193147
108,0.191608,0.186154
109,0.194406,0.176084
110,0.201538,0.202517
111,0.204336,0.219301
112,0.207832,0.156783
113,0.212448,0.103776
114,0.214825,0.133566
115,0.213706,0.183077
116,0.221399,0.164056
117,0.223077,0.166713
118,0.224476,0.171189
119,0.223357,0.166993
120,0.22014,0.218182
121,0.21986,0.184196
122,0.21958,0.163357
123,0.218462,0.191748
124,0.218741,0.238322
125,0.218741,0.267273
126,0.221958,0.282378
127,0.22,0.249231
128,0.21958,0.25972
129,0.224336,0.248531
130,0.22042,0.232028
131,0.222937,0.237483
132,0.222098,0.266573
133,0.223496,0.252028
134,0.226573,0.267413
135,0.225874,0.211748
136,0.227133,0.250769
137,0.23035,0.208671
138,0.233986,0.266713
139,0.233566,0.245175
140,0.237203,0.249231
141,0.235664,0.204476
142,0.238182,0.20042
143,0.236084,0.202517
144,0.236084,0.186853
145,0.232168,0.192028
146,0.22993,0.17958
147,0.232867,0.127832
148,0.22979,0.173007
149,0.231049,0.145734
150,0.230769,0.193007
151,0.227133,0.199441
152,0.225734,0.209091
153,0.224615,0.191049
154,0.224336,0.202098
155,0.222937,0.193986
156,0.220699,0.189371
157,0.221678,0.187273
158,0.217902,0.199301
159,0.217343,0.178462
160,0.216364,0.153147
161,0.216783,0.183077
162,0.213566,0.188252
163,0.214126,0.188252
164,0.212448,0.176364
165,0.212727,0.186853
166,0.212448,0.192168
167,0.211608,0.18
168,0.213706,0.193986
169,0.212727,0.19986
170,0.211049,0.184895
171,0.211329,0.230909
172,0.211888,0.274126
173,0.211189,0.254965
174,0.208671,0.208392
175,0.209091,0.185455
176,0.21035,0.177483
177,0.206713,0.184196
178,0.20965,0.181818
179,0.208392,0.233566
180,0.207692,0.22951
181,0.206573,0.22
182,0.207692,0.213287
183,0.206853,0.202238
184,0.206573,0.139301
185,0.208252,0.158601
186,0.207273,0.177203
187,0.205455,0.186294
188,0.204755,0.17986
189,0.205315,0.148112
190,0.206154,0.157762
191,0.208811,0.118182
192,0.209231,0.131888
193,0.207552,0.0745455
194,0.207273,0.0871329
195,0.206154,0.198182
196,0.206154,0.0723077
197,0.206853,0.151748
198,0.207552,0.18014
199,0.207972,0.00937063
200,0.207832,0.0158042
201,0.207972,0.0167832
202,0.208252,0.0606993
203,0.20979,0.054965
204,0.20965,0.0942657
205,0.211608,0.157622
206,0.211608,0.157203
207,0.211469,0.184755
208,0.21049,0.246993
209,0.210629,0.148112
210,0.20993,0.193287
211,0.211049,0.207832
212,0.21049,0.230629
213,0.20993,0.211608
214,0.20951,0.24
215,0.208252,0.206434
216,0.209371,0.159441
217,0.21007,0.173287
218,0.210769,0.146713
219,0.210769,0.154825
220,0.20951,0.535664
221,0.208671,0.604475
222,0.208392,0.592727
223,0.209371,0.569231
224,0.208671,0.502378
225,0.208671,0.234266
226,0.208252,0.127552
227,0.208252,0.175385
228,0.207972,0.139301
229,0.208112,0.207692
230,0.207413,0.161538
231,0.207972,0.234685
232,0.208112,0.273147
233,0.208112,0.0537063
234,0.208811,0.0518881
235,0.21007,0.197343
236,0.20951,0.0855944
237,0.21035,0.0620979
238,0.208531,0.0264336
239,0.207413,0.0363636
240,0.207552,0.0725874
241,0.204336,0.134126
242,0.206573,0.0448951
243,0.206014,0.0366434
244,0.207413,0.0890909
245,0.205175,0.0334266
246,0.204056,0.0370629
247,0.204895,0.018042
248,0.204615,0.00657343
249,0.204755,0.0138462
250,0.205175,0.0295105
251,0.203497,0.0334266
252,0.203497,0.0323077
253,0.202238,0.0299301
254,0.202378,0.0717482
255,0.203217,0.0794406
256,0.204056,0.025035
257,0.204056,0.0388811
258,0.204336,0.012028
259,0.204755,0.00391608
260,0.204056,0.00965035
261,0.204755,0.0118881
262,0.205035,0.00587413
263,0.205594,0.00867133
264,0.205594,0.00811189
265,0.206713,0.046014
266,0.206154,0.0615385
267,0.205594,0.046014
268,0.205315,0.0316084
269,0.204196,0.0274126
270,0.201678,0.0864336
271,0.201818,0.186434
272,0.202098,0.16042
273,0.200559,0.167133
274,0.200839,0.209371
275,0.201259,0.0695105
276,0.201259,0.0682518
277,0.201538,0.067972
278,0.201119,0.0174825
279,0.200839,0.0293706
280,0.19986,0.0123077
281,0.2,0.0348252
282,0.20014,0.0773427
283,0.20014,0.0538462
284,0.200839,0.0593007
285,0.19986,0.0977622
286,0.19986,0.066993
287,0.20014,0.0481119
288,0.2,0.0247552
289,0.19972,0.087972
290,0.19972,0.112867
291,0.19986,0.148531
292,0.2,0.0572028
293,0.20028,0.0458741
294,0.20028,0.0637762
295,0.19972,0.251888
296,0.199301,0.338601
297,0.20042,0.500979
298,0.199441,0.461399
299,0.2,0.388671
300,0.200839,0.412867
301,0.19986,0.247552
302,0.19986,0.257762
303,0.19972,0.098042
304,0.199301,0.322378
305,0.20028,0.112727
306,0.201538,0.112168
307,0.201399,0.0601399
308,0.202937,0.136364
309,0.203357,0.164056
310,0.203497,0.117483
311,0.205874,0.199301
312,0.205874,0.0542657
313,0.205175,0.0713287
314,0.207273,0.0218182
315,0.207413,0.0499301
