Frame,QueueDensity,DynamicDensity
6,0.0869569,0.0535261
7,0.0928389,0.069201
8,0.0975218,0.111147
9,0.100234,0.03771
10,0.103455,0.098525
11,0.105908,0.0373025
12,0.106927,0.0609168
13,0.108647,0.0563045
14,0.110704,0.108706
15,0.111116,0.0638755
16,0.113056,0.061054
17,0.11498,0.0781436
18,0.11556,0.0567277
19,0.116598,0.0624804
20,0.116888,0.0702709
21,0.117876,0.0745854
22,0.118656,0.0763567
23,0.119408,0.0799188
24,0.119478,0.0733863
25,0.12125,0.0683899
26,0.123456,0.0809455
27,0.124518,0.0867139
28,0.127006,0.0912205
29,0.130455,0.101942
30,0.130768,0.0759922
31,0.132199,0.0811571
32,0.133241,0.0958642
33,0.133743,0.0932739
34,0.134072,0.109552
35,0.134487,0.110728
36,0.13549,0.094571
37,0.135612,0.0969379
38,0.136611,0.112781
39,0.137712,0.105916
40,0.137885,0.110461
41,0.139127,0.110207
42,0.139676,0.109345
43,0.140659,0.136223
44,0.141541,0.101245
45,0.143579,0.133155
46,0.143873,0.142462
47,0.144982,0.136839
48,0.145154,0.141737
49,0.146647,0.133378
50,0.147466,0.127112
51,0.148559,0.120631
52,0.14903,0.112958
53,0.149657,0.116112
54,0.150311,0.116089
55,0.151303,0.103032
56,0.15171,0.0908482
57,0.152212,0.100073
58,0.152921,0.101104
59,0.153485,0.0933327
60,0.15403,0.0995164
61,0.155178,0.0926351
62,0.155797,0.10041
63,0.156033,0.0811023
64,0.157486,0.0883676
65,0.158258,0.0767329
66,0.159438,0.0752869
67,0.160163,0.0738017
68,0.16057,0.0693656
69,0.160923,0.0741308
70,0.159677,0.0650393
71,0.160167,0.0684643
72,0.160876,0.0660465
73,0.161491,0.0685231
74,0.160907,0.0729866
75,0.160343,0.0581345
76,0.159849,0.0556304
77,0.158572,0.0525386
78,0.158247,0.0617946
79,0.15798,0.0601605
80,0.160249,0.058013
81,0.161166,0.0605524
82,0.162785,0.0665951
83,0.16465,0.0633543
84,0.166198,0.0634758
85,0.171363,0.0975453
86,0.176426,0.0952528
87,0.178957,0.108902
88,0.18433,0.113412
89,0.189526,0.122743
90,0.191642,0.10291
91,0.197023,0.108937
92,0.201031,0.128958
93,0.202238,0.0805145
94,0.202928,0.0980587
95,0.202474,0.107938
96,0.204335,0.101029
97,0.205319,0.100335
98,0.207356,0.102671
99,0.207968,0.0998025
100,0.209821,0.0976002
101,0.212212,0.0644829
102,0.212611,0.0950216
103,0.214383,0.100124
104,0.214825,0.0698751
105,0.215017,0.10215
106,0.214786,0.116324
107,0.215209,0.119306
108,0.216005,0.120607
109,0.218391,0.0917377
110,0.221957,0.107816
111,0.223646,0.0682174
112,0.227793,0.0663325
113,0.231135,0.0852953
114,0.23324,0.0671124
115,0.236253,0.0722146
116,0.238988,0.0771561
117,0.239925,0.0799737
118,0.242488,0.0854207
119,0.243518,0.0765722
120,0.242417,0.10282
121,0.243899,0.118326
122,0.244353,0.121434
123,0.243848,0.12444
124,0.2446,0.12877
125,0.24565,0.120082
126,0.246379,0.137356
127,0.247476,0.122273
128,0.24951,0.13533
129,0.250219,0.132069
130,0.251364,0.114031
131,0.251791,0.146737
132,0.252308,0.137113
133,0.253715,0.132312
134,0.254593,0.135075
135,0.255427,0.126709
136,0.25763,0.128064
137,0.259722,0.12839
138,0.261145,0.128699
139,0.262403,0.134401
140,0.263892,0.134158
141,0.26419,0.141976
142,0.263833,0.135134
143,0.263966,0.137254
144,0.264358,0.136012
145,0.265071,0.129048
146,0.263508,0.149445
147,0.263445,0.150147
148,0.261192,0.112123
149,0.259609,0.136039
150,0.258782,0.101115
151,0.257959,0.101178
152,0.256411,0.100296
153,0.255706,0.101131
154,0.254538,0.106323
155,0.253253,0.10648
156,0.252814,0.107483
157,0.250576,0.106437
158,0.2494,0.0975649
159,0.248879,0.102459
160,0.247802,0.0921022
161,0.247112,0.103294
162,0.246218,0.10195
163,0.245137,0.0963148
164,0.243636,0.0999984
165,0.24326,0.099924
166,0.243413,0.104932
167,0.24286,0.0982232
168,0.242382,0.0918357
169,0.241739,0.0933444
170,0.241841,0.102405
171,0.241441,0.104121
172,0.240807,0.101738
173,0.239878,0.10077
174,0.24007,0.0941399
175,0.239815,0.0834809
176,0.240023,0.09182
177,0.239647,0.091722
178,0.2392,0.091436
179,0.239141,0.0929839
180,0.239486,0.0918279
181,0.239705,0.0894296
182,0.239396,0.0898567
183,0.239247,0.0755572
184,0.239513,0.0820036
185,0.238773,0.0794681
186,0.238475,0.0817136
187,0.237107,0.0741465
188,0.236876,0.0751889
189,0.237197,0.0671633
190,0.237139,0.0734059
191,0.237147,0.0741739
192,0.237158,0.0674533
193,0.236418,0.0642674
194,0.236422,0.0532361
195,0.238369,0.0433844
196,0.238573,0.0344888
197,0.238937,0.0444228
198,0.239082,0.028983
199,0.238804,0.0240532
200,0.23882,0.0124498
201,0.238769,0.0153301
202,0.238933,0.0157573
203,0.239165,0.0135393
204,0.239513,0.0150009
205,0.239372,0.0216981
206,0.2388,0.0169054
207,0.238565,0.0148089
208,0.238244,0.0133041
209,0.23815,0.011572
210,0.238275,0.0146012
211,0.238679,0.0153419
212,0.238628,0.0207576
213,0.238647,0.0220429
214,0.238291,0.0219136
215,0.23806,0.0181594
216,0.237766,0.0198249
217,0.23755,0.0155496
218,0.237468,0.0164195
219,0.237707,0.0165802
220,0.23835,0.0488628
221,0.238256,0.036989
222,0.238169,0.0428828
223,0.238075,0.0276467
224,0.237868,0.0186297
225,0.237683,0.0191274
226,0.237621,0.019386
227,0.237762,0.0188923
228,0.237668,0.0190255
229,0.237401,0.0240297
230,0.237476,0.0200404
231,0.237389,0.0159375
232,0.237354,0.015142
233,0.237679,0.014421
234,0.237742,0.0201541
235,0.237985,0.0224583
236,0.237969,0.0160433
237,0.237734,0.0184847
238,0.237162,0.0146992
239,0.236143,0.015914
240,0.235403,0.0149853
241,0.235316,0.0151303
242,0.236484,0.017458
243,0.236425,0.0109803
244,0.236798,0.0131905
245,0.235426,0.0308287
246,0.235646,0.0113487
247,0.235881,0.0174149
248,0.235846,0.0093462
249,0.235493,0.00912283
250,0.23525,0.015671
251,0.235512,0.0161922
252,0.23525,0.0133668
253,0.23485,0.0103612
254,0.234505,0.00454966
255,0.234697,0.00384428
256,0.234603,0.00781005
257,0.234729,0.00872312
258,0.23449,0.00528246
259,0.234721,0.00823328
260,0.234721,0.00857812
261,0.234544,0.00916985
262,0.234423,0.0118659
263,0.234662,0.0139272
264,0.234881,0.019292
265,0.234999,0.0202677
266,0.234878,0.0168506
267,0.234717,0.015385
268,0.234537,0.0138998
269,0.234431,0.013794
270,0.234102,0.0292142
271,0.233992,0.0275683
272,0.233761,0.0246567
273,0.23371,0.0419266
274,0.233894,0.050348
275,0.234278,0.0146208
276,0.234141,0.0134844
277,0.233596,0.0114702
278,0.233196,0.00337404
279,0.232691,0.00826071
280,0.23322,0.00410684
281,0.234039,0.00583501
282,0.234368,0.00655605
283,0.235085,0.0052276
284,0.23621,0.0142133
285,0.236175,0.0162079
286,0.237154,0.0119953
287,0.237248,0.0190843
288,0.23661,0.0120345
289,0.235618,0.0103729
290,0.234258,0.0106629
291,0.233772,0.0102514
292,0.232828,0.00768465
293,0.231762,0.00801774
294,0.231488,0.00776303
295,0.231335,0.00907189
296,0.231214,0.0151185
297,0.231092,0.0567159
298,0.230802,0.0517822
299,0.230551,0.0515197
300,0.230688,0.0273802
301,0.230755,0.0261106
302,0.230967,0.0214786
303,0.230782,0.0350727
304,0.231272,0.0358486
305,0.231292,0.0252171
306,0.231433,0.020397
307,0.231394,0.0343791
308,0.232013,0.0172229
309,0.231739,0.027537
310,0.23204,0.0380902
311,0.23358,0.0247704
312,0.233306,0.024641
313,0.232808,0.0270119
314,0.23447,0.030237
315,0.235038,0.0232225
316,0.23534,0.0266318
317,0.23505,0.0226111
318,0.234909,0.0279289
319,0.234697,0.0231323
320,0.235943,0.0674023
321,0.236206,0.0538944
322,0.235967,0.0509397
323,0.235893,0.0600861
324,0.236253,0.0309933
325,0.236794,0.0304369
326,0.236931,0.0355273
327,0.236735,0.0342968
328,0.236708,0.0377767
329,0.2367,0.0325726
330,0.236904,0.0325216
331,0.23681,0.026377
332,0.236504,0.0243236
333,0.236516,0.0161766
334,0.236778,0.0236143
335,0.236598,0.0207458
336,0.236715,0.0142094
337,0.236633,0.00756317
338,0.236727,0.0129554
339,0.237037,0.0118973
340,0.237378,0.00834692
341,0.237605,0.00927566
342,0.238193,0.0150715
343,0.239118,0.0188687
344,0.240705,0.0215139
345,0.241943,0.0305035
346,0.242978,0.0303271
347,0.244886,0.0398105
348,0.245529,0.0424948
349,0.245129,0.0439095
350,0.244549,0.0418953
351,0.244153,0.046057
352,0.243961,0.0494976
353,0.244098,0.0410488
354,0.243887,0.0509671
355,0.243797,0.0439252
356,0.243569,0.0380196
357,0.243518,0.0389288
358,0.243714,0.0371967
359,0.24382,0.0395323
360,0.243914,0.0355665
361,0.244063,0.0392148
362,0.244165,0.0344026
363,0.244369,0.0333642
364,0.244416,0.04157
365,0.244239,0.0319221
366,0.243973,0.0379922
367,0.244243,0.0397556
368,0.243871,0.034724
369,0.24393,0.0480046
370,0.243565,0.0498699
371,0.243703,0.0431257
372,0.243726,0.0465076
373,0.243777,0.0455475
374,0.243801,0.044995
375,0.243624,0.0441485
376,0.243083,0.0449989
377,0.242605,0.0369381
378,0.242488,0.0393402
379,0.24199,0.0388661
380,0.241888,0.0374867
381,0.241986,0.0370595
382,0.241931,0.0329566
383,0.241931,0.0377022
384,0.242437,0.0350884
385,0.243448,0.0357115
386,0.245008,0.0370478
387,0.245599,0.0402533
388,0.246994,0.0419344
389,0.249698,0.0478126
390,0.251062,0.0483769
391,0.253531,0.0512023
392,0.255357,0.0531734
393,0.25578,0.0543294
394,0.256764,0.0545254
395,0.259668,0.0593415
396,0.260267,0.0563358
397,0.261039,0.0503127
398,0.261995,0.0532479
399,0.262869,0.0479066
400,0.263034,0.0456102
401,0.263962,0.0516059
402,0.26428,0.0452458
403,0.264946,0.0523857
404,0.266114,0.056904
405,0.266451,0.048659
406,0.26814,0.0397478
407,0.271059,0.0465507
408,0.272384,0.0407627
409,0.275797,0.0475853
410,0.278325,0.0541335
411,0.279465,0.0567826
412,0.282694,0.0600312
413,0.286926,0.0656507
414,0.288893,0.0620729
415,0.293984,0.0744404
416,0.298236,0.0833281
417,0.299862,0.0738173
418,0.304086,0.0761333
419,0.307672,0.084202
420,0.307606,0.0957936
421,0.310956,0.0969418
422,0.314091,0.0966048
423,0.316113,0.0927644
424,0.321599,0.0922472
425,0.327211,0.102209
426,0.329241,0.106586
427,0.333959,0.110383
428,0.338046,0.123958
429,0.339363,0.109062
430,0.344156,0.12578
431,0.348278,0.114686
432,0.350284,0.125631
433,0.355931,0.133386
434,0.359497,0.110066
435,0.362378,0.151361
436,0.36688,0.170367
437,0.370607,0.16684
438,0.371708,0.174572
439,0.374491,0.17873
440,0.378225,0.201549
441,0.378993,0.192387
442,0.381313,0.197332
443,0.385181,0.183832
444,0.386631,0.203892
445,0.394261,0.202332
446,0.396855,0.205432
447,0.397799,0.210268
448,0.399743,0.217024
449,0.402184,0.22019
450,0.402627,0.213375
451,0.405648,0.215319
452,0.407627,0.218321
453,0.408564,0.218964
454,0.411597,0.221867
455,0.413588,0.224203
456,0.414117,0.224583
457,0.416374,0.228557
458,0.418643,0.230504
459,0.41918,0.227785
460,0.420371,0.22704
461,0.422068,0.229054
462,0.422378,0.22784
463,0.42507,0.2255
464,0.425881,0.225782
465,0.425869,0.226147
466,0.426371,0.225222
467,0.426974,0.226374
468,0.42708,0.223419
469,0.427883,0.223564
470,0.432261,0.234717
471,0.432692,0.234227
472,0.432355,0.23072
473,0.432739,0.229368
474,0.432731,0.238561
475,0.433087,0.2257
476,0.432276,0.22606
477,0.431485,0.227224
478,0.431312,0.226895
479,0.430752,0.228698
480,0.43056,0.223215
481,0.430544,0.22512
482,0.429674,0.218485
483,0.429239,0.213289
484,0.429964,0.210934
485,0.43018,0.198069
486,0.429945,0.205605
487,0.430109,0.191834
488,0.429776,0.189883
489,0.429471,0.193558
490,0.42909,0.196725
491,0.429036,0.196831
492,0.429165,0.199076
493,0.429086,0.198006
494,0.428746,0.207227
495,0.429655,0.233087
496,0.429706,0.240658
497,0.430235,0.221366
498,0.429635,0.230583
499,0.429729,0.266678
500,0.43268,0.00657565
501,0.434173,0.003617
502,0.438981,0.0125752
503,0.443696,0.0123362
504,0.445933,0.0205577
505,0.452626,0.0206047
506,0.458344,0.0260244
507,0.461506,0.0385134
508,0.46595,0.0406177
509,0.469853,0.0461275
510,0.47249,0.0484278
511,0.475606,0.0551876
512,0.477843,0.0615477
513,0.478682,0.0597843
514,0.480904,0.0661131
515,0.482609,0.0720813
516,0.484376,0.0701533
517,0.488886,0.071615
518,0.493256,0.07475
519,0.495023,0.0688915
520,0.510255,0.081067
521,0.512693,0.0810866
522,0.514397,0.0778811
523,0.516662,0.0697457
524,0.520742,0.0766545
525,0.522329,0.0520997
526,0.525139,0.0583265
527,0.526256,0.0763136
528,0.528129,0.0789901
529,0.529931,0.0817293
530,0.531899,0.0555677
531,0.533203,0.0817998
532,0.533537,0.0862711
533,0.533411,0.0831439
534,0.534912,0.0877289
535,0.537063,0.0856833
536,0.537024,0.0874036
537,0.537138,0.0842373
538,0.538094,0.0840256
539,0.539356,0.0850798
540,0.539332,0.0886184
541,0.538627,0.0878503
542,0.540214,0.0902956
543,0.541119,0.0838336
544,0.539807,0.0888966
545,0.541061,0.0949824
546,0.540457,0.0953586
547,0.539861,0.0996536
548,0.538784,0.0972827
549,0.538165,0.104039
550,0.536726,0.103235
551,0.535378,0.101476
552,0.535402,0.0997359
553,0.534822,0.0978941
554,0.533423,0.0993127
555,0.533168,0.0992304
556,0.532753,0.0983095
557,0.532106,0.093701
558,0.531769,0.0826698
559,0.531009,0.0893316
560,0.530852,0.0930583
561,0.530229,0.0974395
562,0.529775,0.100833
563,0.529183,0.109995
564,0.528176,0.108177
565,0.527416,0.146921
566,0.5268,0.201909
567,0.526902,0.229242
568,0.525719,0.250549
569,0.525241,0.199009
570,0.524136,0.190592
571,0.525452,0.197277
