Frame,QueueDensity,DynamicDensity
6,0.0863198,0.132573
7,0.0892881,0.141645
8,0.0939228,0.148039
9,0.0955892,0.140853
10,0.0982451,0.137635
11,0.100505,0.142207
12,0.101297,0.134489
13,0.102807,0.142613
14,0.105536,0.151903
15,0.105921,0.139968
16,0.107306,0.123522
17,0.108681,0.0897985
18,0.109514,0.0775816
19,0.110472,0.0703328
20,0.110754,0.0881216
21,0.111087,0.0758319
22,0.112503,0.0893402
23,0.113014,0.0861532
24,0.113878,0.0904859
25,0.116117,0.097391
26,0.118596,0.105057
27,0.119679,0.099724
28,0.122418,0.0977035
29,0.12471,0.120637
30,0.123824,0.0870489
31,0.124803,0.0867469
32,0.12597,0.108119
33,0.126491,0.110681
34,0.126834,0.1039
35,0.12723,0.102505
36,0.127907,0.101661
37,0.128522,0.104442
38,0.129709,0.112045
39,0.130032,0.117752
40,0.13025,0.116065
41,0.131386,0.122658
42,0.132115,0.0882779
43,0.132719,0.089486
44,0.133615,0.0936416
45,0.134729,0.131625
46,0.134385,0.146279
47,0.135333,0.142009
48,0.136052,0.153768
49,0.136729,0.138103
50,0.137229,0.12898
51,0.138551,0.120919
52,0.138447,0.134968
53,0.138749,0.120429
54,0.139405,0.123616
55,0.139426,0.0995157
56,0.139312,0.121231
57,0.139343,0.0926522
58,0.13952,0.0881841
59,0.139239,0.0952143
60,0.139426,0.0829037
61,0.139468,0.0811644
62,0.140009,0.0888195
63,0.140395,0.0780399
64,0.141124,0.0739364
65,0.141874,0.0884966
66,0.142467,0.0364943
67,0.14354,0.031193
68,0.144352,0.0800917
69,0.144998,0.0290059
70,0.143967,0.0411602
71,0.144936,0.0471697
72,0.145988,0.037088
73,0.147185,0.0365464
74,0.14806,0.0406811
75,0.148216,0.0367651
76,0.149456,0.0384003
77,0.149445,0.0415664
78,0.149685,0.038067
79,0.150643,0.0445243
80,0.153372,0.0424934
81,0.154788,0.0475551
82,0.157788,0.0537104
83,0.161194,0.0522106
84,0.16311,0.0622194
85,0.167755,0.0759673
86,0.173462,0.0761027
87,0.176347,0.0907567
88,0.182169,0.098193
89,0.186971,0.100286
90,0.188637,0.110358
91,0.19424,0.0802895
92,0.19673,0.113857
93,0.197084,0.117325
94,0.197448,0.116419
95,0.195334,0.135948
96,0.196803,0.0957871
97,0.198407,0.0862678
98,0.199375,0.102421
99,0.200115,0.0675936
100,0.200781,0.0714576
101,0.202083,0.0661251
102,0.203229,0.0842785
103,0.204489,0.088205
104,0.203979,0.0902359
105,0.203447,0.0994636
106,0.202822,0.104723
107,0.206291,0.11517
108,0.206624,0.114826
109,0.209769,0.0989533
110,0.213477,0.106765
111,0.215591,0.0885591
112,0.218987,0.0851742
113,0.221788,0.117846
114,0.222986,0.0959538
115,0.225736,0.0936
116,0.228735,0.092548
117,0.229537,0.103255
118,0.229964,0.122502
119,0.230027,0.117575
120,0.2276,0.129105
121,0.228714,0.147956
122,0.228079,0.140186
123,0.227766,0.154934
124,0.228433,0.161704
125,0.229256,0.154653
126,0.229756,0.159236
127,0.230193,0.158631
128,0.232005,0.162704
129,0.232766,0.14706
130,0.233547,0.154903
131,0.23589,0.156278
132,0.236442,0.143269
133,0.238431,0.145956
134,0.239129,0.163485
135,0.240192,0.142436
136,0.241962,0.149706
137,0.243295,0.165505
138,0.24466,0.167526
139,0.246087,0.17565
140,0.247503,0.16838
141,0.247066,0.168786
142,0.246868,0.152028
143,0.24743,0.163766
144,0.246628,0.151518
145,0.247201,0.149445
146,0.245243,0.169276
147,0.244972,0.141467
148,0.243681,0.144259
149,0.242087,0.154892
150,0.241275,0.105911
151,0.240994,0.108618
152,0.238609,0.125355
153,0.238161,0.126053
154,0.236515,0.128772
155,0.23512,0.133292
156,0.23438,0.130688
157,0.232443,0.130719
158,0.231526,0.119138
159,0.231256,0.119721
160,0.230256,0.113628
161,0.229256,0.119763
162,0.229068,0.115961
163,0.227287,0.113305
164,0.225496,0.122845
165,0.2251,0.118429
166,0.224777,0.119783
167,0.224455,0.109004
168,0.224736,0.107973
169,0.223653,0.111233
170,0.223944,0.110764
171,0.224038,0.115409
172,0.222726,0.116451
173,0.221757,0.113555
174,0.222319,0.1064
175,0.222351,0.0967349
176,0.222319,0.10866
177,0.221944,0.102567
178,0.221392,0.11067
179,0.221559,0.112326
180,0.222194,0.115888
181,0.222038,0.0923397
182,0.221153,0.102755
183,0.221278,0.110764
184,0.221799,0.111253
185,0.221205,0.102474
186,0.220861,0.0962141
187,0.219903,0.0899859
188,0.219643,0.0873093
189,0.219622,0.0778212
190,0.21958,0.0848097
191,0.220111,0.0928709
192,0.219872,0.0853512
193,0.219185,0.0824975
194,0.218976,0.0713951
195,0.220028,0.0686247
196,0.22082,0.0592095
197,0.221299,0.0606155
198,0.221455,0.0321721
199,0.221018,0.0356298
200,0.22134,0.020351
201,0.221392,0.0204239
202,0.221809,0.0219861
203,0.222205,0.0153622
204,0.222392,0.0178514
205,0.222361,0.0191428
206,0.221882,0.0183201
207,0.22182,0.0170807
208,0.221747,0.0128522
209,0.221465,0.0134875
210,0.22132,0.014529
211,0.22182,0.0209759
212,0.221767,0.0281414
213,0.22159,0.0360152
214,0.220955,0.0291829
215,0.220945,0.0232047
216,0.220643,0.0265792
217,0.220413,0.0202364
218,0.220289,0.0218716
219,0.220601,0.0246732
220,0.220372,0.0442847
221,0.22108,0.0292246
222,0.220788,0.0411811
223,0.220528,0.0219341
224,0.220184,0.0187471
225,0.220007,0.0172786
226,0.219945,0.0178618
227,0.220059,0.0162162
228,0.220111,0.0313701
229,0.219747,0.0331094
230,0.219799,0.0220174
231,0.219737,0.0153726
232,0.219914,0.0153205
233,0.220174,0.018445
234,0.220382,0.0228506
235,0.220705,0.023111
236,0.22057,0.0219757
237,0.220111,0.0247565
238,0.219518,0.0147685
239,0.219268,0.00885278
240,0.218195,0.0116753
241,0.217956,0.0182888
242,0.218487,0.0221528
243,0.218455,0.0164245
244,0.219205,0.0181847
245,0.217216,0.0325782
246,0.217549,0.0202885
247,0.217976,0.0209238
248,0.217956,0.0163412
249,0.217529,0.0141332
250,0.217414,0.0179764
251,0.217612,0.0189554
252,0.217383,0.0195074
253,0.216904,0.0158621
254,0.216841,0.00700932
255,0.216768,0.006374
256,0.217133,0.0067177
257,0.217143,0.00899859
258,0.217299,0.00622819
259,0.217247,0.0109879
260,0.217174,0.00945686
261,0.217466,0.0138208
262,0.217466,0.0173202
263,0.217685,0.0222153
264,0.217612,0.0277873
265,0.217695,0.0287976
266,0.217549,0.0231006
267,0.217591,0.0214654
268,0.217174,0.0186533
269,0.217091,0.019799
270,0.216633,0.0409832
271,0.216799,0.0422226
272,0.21656,0.038921
273,0.216539,0.0413894
274,0.216841,0.0472218
275,0.217081,0.0187262
276,0.216966,0.0173619
277,0.216372,0.016237
278,0.215893,0.00443681
279,0.215529,0.00964433
280,0.2158,0.00816539
281,0.215966,0.00578035
282,0.216341,0.00798834
283,0.216445,0.00513461
284,0.21731,0.0145081
285,0.217101,0.0132583
286,0.217674,0.00748841
287,0.216654,0.0153309
288,0.215925,0.0133729
289,0.215071,0.0206426
290,0.213998,0.0148102
291,0.213873,0.0286414
292,0.213279,0.0294329
293,0.213071,0.0328907
294,0.21306,0.0255898
295,0.21306,0.0652606
296,0.213321,0.0659584
297,0.213144,0.0677915
298,0.213008,0.0652502
299,0.212988,0.0740718
300,0.212758,0.0275061
301,0.212769,0.0295579
302,0.212935,0.0210696
303,0.213133,0.0294433
304,0.213612,0.0363381
305,0.213748,0.0323283
306,0.213862,0.0255273
307,0.214123,0.0356611
308,0.21456,0.0362027
309,0.214519,0.0430349
310,0.214831,0.0407124
311,0.216362,0.0205489
312,0.216341,0.0187158
313,0.21555,0.0319221
314,0.217018,0.0356194
315,0.217706,0.0332865
316,0.218164,0.0371088
317,0.217997,0.0261834
318,0.218081,0.0278811
319,0.217518,0.0275582
320,0.217914,0.0619174
321,0.218383,0.0422851
322,0.217997,0.0444097
323,0.217987,0.0536999
324,0.218466,0.0542832
325,0.218508,0.0350674
326,0.219091,0.047753
327,0.219257,0.0358798
328,0.219226,0.0564703
329,0.219403,0.0360777
330,0.219684,0.0357861
331,0.219622,0.0437848
332,0.219424,0.0356611
333,0.219195,0.0391605
334,0.219632,0.0364735
335,0.219612,0.0295058
336,0.219632,0.0197261
337,0.21958,0.0111962
338,0.219497,0.0121439
339,0.219799,0.0104567
340,0.220049,0.00966516
341,0.221455,0.0153309
342,0.222392,0.0174973
343,0.223465,0.0207676
344,0.224871,0.0169244
345,0.225204,0.0291205
346,0.226777,0.0433057
347,0.2271,0.0462844
348,0.227579,0.0422538
349,0.227235,0.0485862
350,0.226975,0.0418476
351,0.226527,0.0375254
352,0.226298,0.0392439
353,0.225808,0.0409415
354,0.226079,0.0387023
355,0.225559,0.0375462
356,0.225267,0.0363172
357,0.225465,0.0373379
358,0.225319,0.0361194
359,0.225673,0.035609
360,0.22559,0.0341301
361,0.225913,0.0330782
362,0.225965,0.0340363
363,0.22635,0.0344946
364,0.226027,0.0350258
365,0.226235,0.0317659
366,0.225704,0.0325678
367,0.226121,0.0293183
368,0.225933,0.0336302
369,0.225902,0.0399521
370,0.225579,0.0389106
371,0.225746,0.0346404
372,0.22584,0.0365047
373,0.225986,0.0371609
374,0.226006,0.0378691
375,0.225736,0.0375358
376,0.225225,0.0389106
377,0.224725,0.0392439
378,0.224642,0.0386606
379,0.223986,0.0355257
380,0.223955,0.0329636
381,0.224111,0.0315784
382,0.2246,0.0294225
383,0.224455,0.0315472
384,0.225215,0.0294121
385,0.226131,0.0291205
386,0.227714,0.029912
387,0.227766,0.0305369
388,0.230047,0.0305161
389,0.23288,0.0364318
390,0.233495,0.0380149
391,0.234547,0.0423267
392,0.23613,0.0438473
393,0.236151,0.0510024
394,0.237005,0.0512628
395,0.238723,0.045597
396,0.238869,0.0453367
397,0.24015,0.0456699
398,0.240577,0.0468052
399,0.240973,0.0460345
400,0.241827,0.0443785
401,0.242254,0.0490236
402,0.24241,0.0391085
403,0.242775,0.0425663
404,0.244358,0.0461803
405,0.244847,0.0386815
406,0.247149,0.0371504
407,0.249773,0.0363172
408,0.251117,0.0423996
409,0.253762,0.0483362
410,0.256272,0.052346
411,0.258012,0.0639275
412,0.262292,0.0594699
413,0.267031,0.0777795
414,0.269198,0.0616674
415,0.273551,0.0561683
416,0.277832,0.0784565
417,0.279446,0.0738426
418,0.283133,0.0796855
419,0.28581,0.0980784
420,0.284903,0.0968599
421,0.28758,0.0985367
422,0.291975,0.10438
423,0.294631,0.093652
424,0.299724,0.101588
425,0.305338,0.1182
426,0.307431,0.0960787
427,0.312191,0.110274
428,0.315701,0.110139
429,0.317471,0.154622
430,0.322595,0.118752
431,0.327303,0.146165
432,0.329126,0.139301
433,0.334094,0.160673
434,0.339405,0.132854
435,0.341061,0.115628
436,0.34655,0.146217
437,0.349925,0.130907
438,0.35106,0.169911
439,0.353309,0.178108
440,0.356798,0.144946
441,0.357694,0.187492
442,0.360371,0.191178
443,0.364047,0.197334
444,0.365214,0.186179
445,0.3709,0.19522
446,0.374337,0.195865
447,0.375618,0.203593
448,0.377347,0.218049
449,0.381388,0.215081
450,0.382336,0.218153
451,0.386502,0.219164
452,0.388991,0.213987
453,0.389387,0.234307
454,0.392887,0.235286
455,0.395157,0.232005
456,0.395657,0.232193
457,0.397282,0.234797
458,0.398906,0.237442
459,0.399167,0.233797
460,0.400312,0.232797
461,0.401177,0.234026
462,0.401666,0.232401
463,0.403302,0.232891
464,0.403874,0.234213
465,0.403697,0.232557
466,0.403822,0.232203
467,0.403947,0.232422
468,0.404437,0.231433
469,0.405718,0.22912
470,0.409103,0.239171
471,0.409894,0.238046
472,0.409415,0.241993
473,0.409873,0.240171
474,0.410165,0.248638
475,0.410071,0.235994
476,0.409811,0.237088
477,0.40903,0.235088
478,0.40904,0.233453
479,0.408238,0.231849
480,0.407759,0.234318
481,0.408634,0.235026
482,0.408332,0.230506
483,0.407634,0.219351
484,0.407988,0.221799
485,0.408342,0.207343
486,0.407843,0.217404
487,0.407801,0.195699
488,0.407697,0.189325
489,0.406499,0.185086
490,0.40678,0.196334
491,0.406697,0.193761
492,0.406249,0.184607
493,0.406614,0.215581
494,0.406197,0.231683
495,0.406009,0.245253
496,0.406624,0.262886
497,0.40702,0.285008
498,0.406645,0.276509
499,0.409467,0.0948706
500,0.414175,0.0108733
501,0.41581,0.0106338
502,0.421049,0.0206426
503,0.425986,0.0252356
504,0.428339,0.0320262
505,0.434953,0.0510545
506,0.442389,0.0539395
507,0.445503,0.0436182
508,0.450138,0.0575743
509,0.454169,0.0722908
510,0.455866,0.0758736
511,0.457043,0.0607822
512,0.458574,0.0804666
513,0.459657,0.0789564
514,0.462532,0.0803416
515,0.464282,0.0940374
516,0.465719,0.084768
517,0.469958,0.0890173
518,0.474686,0.0920169
519,0.47704,0.0984117
520,0.49109,0.100463
521,0.493537,0.1069
522,0.495704,0.0989741
523,0.497808,0.0987658
524,0.501442,0.0998906
525,0.503234,0.0935687
526,0.506452,0.0721346
527,0.507671,0.100828
528,0.510024,0.0876426
529,0.511566,0.085872
530,0.512743,0.101515
531,0.513941,0.0984846
532,0.514836,0.10389
533,0.514763,0.104338
534,0.516534,0.082685
535,0.518419,0.0790293
536,0.51895,0.0855283
537,0.519294,0.0777691
538,0.519606,0.0897776
539,0.520794,0.0806957
540,0.520679,0.0898922
541,0.519658,0.0904025
542,0.521356,0.0995157
543,0.522012,0.0916211
544,0.520564,0.0854866
545,0.519908,0.0826329
546,0.519971,0.100818
547,0.519023,0.11091
548,0.517617,0.104734
549,0.517555,0.0987137
550,0.516388,0.0951622
551,0.514972,0.0982451
552,0.514534,0.0944644
553,0.514045,0.10414
554,0.512035,0.0961412
555,0.511691,0.105733
556,0.51116,0.0997032
557,0.510816,0.0952976
558,0.510285,0.0909441
559,0.50992,0.0989325
560,0.509233,0.106754
561,0.508941,0.100703
562,0.508618,0.103796
563,0.508535,0.114888
564,0.50714,0.126511
565,0.50641,0.191022
566,0.505754,0.232214
567,0.505744,0.265729
568,0.505306,0.269239
569,0.507067,0.243972
