Frame,QueueDensity,DynamicDensity
3442,0.822073,0.0140918
3443,0.822073,0.0320867
3444,0.821999,0.0076533
3445,0.821866,0.00657565
3446,0.822128,0.0127869
3447,0.822156,0.0120266
3448,0.822301,0.014566
3449,0.822438,0.0118581
3450,0.822677,0.0114114
3451,0.82281,0.0221291
3452,0.823108,0.0531812
3453,0.823112,0.0486041
3454,0.823229,0.0403434
3455,0.823324,0.0134883
3456,0.823104,0.0121207
3457,0.82321,0.012779
3458,0.823304,0.0150989
3459,0.82352,0.0141467
3460,0.823551,0.0623903
3461,0.8239,0.0366677
3462,0.824303,0.020883
3463,0.824585,0.0181947
3464,0.824609,0.0212357
3465,0.824805,0.0160864
3466,0.824989,0.0159336
3467,0.825013,0.0157533
3468,0.824903,0.0147305
3469,0.82522,0.0143387
3470,0.824868,0.015048
3471,0.825052,0.0123715
3472,0.825154,0.00804909
3473,0.825181,0.0106942
3474,0.825514,0.00980469
3475,0.825812,0.0102749
3476,0.825882,0.00846448
3477,0.826,0.00898567
3478,0.825957,0.00643849
3479,0.826141,0.0267454
3480,0.826129,0.0201933
3481,0.826059,0.0186532
3482,0.826114,0.0154829
3483,0.826012,0.0138527
3484,0.826016,0.00440466
3485,0.824613,0.0968517
3486,0.824762,0.0795857
3487,0.824668,0.102503
3488,0.824879,0.0918866
3489,0.824762,0.102577
3490,0.8254,0.0481731
3491,0.825306,0.0325138
3492,0.825538,0.0289438
3493,0.825542,0.0290849
3494,0.825875,0.034724
3495,0.825655,0.0178969
3496,0.82582,0.0233518
3497,0.825973,0.0224818
3498,0.82589,0.0145816
3499,0.825863,0.0151812
3500,0.826118,0.00555286
3501,0.826169,0.00279798
3502,0.826082,0.00643457
3503,0.82591,0.0186415
3504,0.826071,0.0289203
3505,0.826137,0.0253503
3506,0.826157,0.0220312
3507,0.826102,0.0218156
3508,0.826071,0.013457
3509,0.826196,0.00967537
3510,0.823186,0.0709606
3511,0.823449,0.0554776
3512,0.823527,0.0522642
3513,0.823829,0.0505478
3514,0.82388,0.0545567
3515,0.824088,0.0138919
3516,0.823931,0.0239318
3517,0.824237,0.0432433
3518,0.824342,0.0315106
3519,0.824378,0.049913
3520,0.824785,0.0430121
3521,0.824538,0.0429847
3522,0.824801,0.0480908
3523,0.824789,0.039446
3524,0.824915,0.0436979
3525,0.824899,0.0449793
3526,0.824938,0.0684212
3527,0.824899,0.0600821
3528,0.824754,0.0704629
3529,0.824973,0.0424204
3530,0.825122,0.0361425
3531,0.825232,0.0335092
3532,0.825193,0.0293631
3533,0.825185,0.0251701
3534,0.825193,0.0119443
3535,0.82524,0.0981449
3536,0.825353,0.126332
3537,0.825808,0.114678
3538,0.825667,0.116387
3539,0.82582,0.0306681
3540,0.825706,0.025029
3541,0.825828,0.0527737
3542,0.825894,0.0461863
3543,0.825596,0.00445561
3544,0.825596,0.00217882
3545,0.825651,0.00544313
3546,0.825926,0.00719089
3547,0.825734,0.0122735
3548,0.825832,0.00708508
3549,0.825902,0.00744953
3550,0.82564,0.0105453
3551,0.82551,0.0123205
3552,0.825389,0.0140095
3553,0.825796,0.0144876
3554,0.825698,0.0167996
3555,0.8256,0.0158709
3556,0.825761,0.0153419
3557,0.825847,0.0159454
3558,0.825753,0.0159532
3559,0.825851,0.0160394
3560,0.824562,0.0175403
3561,0.824734,0.0153928
3562,0.825005,0.0118581
3563,0.825107,0.0128887
3564,0.825118,0.0128104
3565,0.825436,0.0153223
3566,0.825263,0.0164901
3567,0.82571,0.0148207
3568,0.825922,0.0168153
3569,0.824252,0.0228384
3570,0.824417,0.0217294
3571,0.824801,0.0206361
3572,0.825063,0.0226033
3573,0.825122,0.0227091
3574,0.824911,0.0187747
3575,0.82486,0.0182065
3576,0.82477,0.0173679
3577,0.824875,0.0073398
3578,0.825122,0.0135314
3579,0.824977,0.0130455
3580,0.825248,0.0128887
3581,0.825201,0.0106942
3582,0.825322,0.0133864
3583,0.82511,0.0132179
3584,0.825205,0.0143191
3585,0.825122,0.0131043
3586,0.825224,0.0117601
3587,0.825467,0.0112977
3588,0.825479,0.0133707
3589,0.825565,0.0149892
3590,0.825882,0.0125948
3591,0.825812,0.0104983
3592,0.826153,0.0100633
3593,0.826161,0.0101691
3594,0.823998,0.0233322
3595,0.824099,0.0214434
3596,0.824127,0.0140448
3597,0.824484,0.0148951
3598,0.824632,0.0109764
3599,0.824362,0.00666578
3600,0.824911,0.00616026
3601,0.824676,0.00962443
3602,0.824621,0.00890338
3603,0.825001,0.00821368
3604,0.825052,0.00714778
3605,0.825471,0.00797856
3606,0.825416,0.0065874
3607,0.825432,0.0136255
3608,0.825487,0.00642674
3609,0.825432,0.0122696
3610,0.825142,0.00442426
3611,0.825232,0.00414603
3612,0.82542,0.00362875
3613,0.825498,0.00574879
3614,0.825357,0.00540394
3615,0.825428,0.00582717
3616,0.825377,0.00939714
3617,0.825075,0.00641498
3618,0.824946,0.00572528
3619,0.824386,0.0473815
3620,0.824523,0.0546037
3621,0.824691,0.040316
3622,0.824683,0.0317496
3623,0.824562,0.0165645
3624,0.824891,0.0161726
3625,0.824582,0.00870744
3626,0.824436,0.00811963
3627,0.824664,0.0107413
3628,0.824703,0.0122853
3629,0.824499,0.0110822
3630,0.824711,0.0161452
3631,0.824695,0.0125125
3632,0.825216,0.0114623
3633,0.825193,0.010177
3634,0.825616,0.011913
3635,0.825785,0.0123362
3636,0.82609,0.0116739
3637,0.826008,0.00985171
3638,0.826082,0.0099105
3639,0.826071,0.0100241
3640,0.826035,0.00944417
3641,0.826149,0.00552934
3642,0.826165,0.0067128
3643,0.826294,0.0072144
3644,0.823327,0.0101495
3645,0.823516,0.0110744
3646,0.823445,0.00958916
3647,0.823371,0.0111057
3648,0.823375,0.012685
3649,0.823179,0.00722616
3650,0.823233,0.00637579
3651,0.823147,0.00522368
3652,0.823312,0.00554502
3653,0.823159,0.00318594
3654,0.823135,0.00272353
3655,0.823884,0.00417738
3656,0.823723,0.00738683
3657,0.8239,0.0190529
3658,0.824072,0.0157063
3659,0.824025,0.0178224
3660,0.824076,0.0199503
3661,0.82446,0.0594943
3662,0.824601,0.055458
3663,0.824766,0.026283
3664,0.82455,0.0187159
3665,0.824362,0.0160433
3666,0.824433,0.0262712
3667,0.824558,0.0110352
3668,0.824519,0.00732413
3669,0.823786,0.079574
3670,0.823731,0.0631936
3671,0.823563,0.0743385
3672,0.823829,0.0572371
3673,0.823884,0.0574017
3674,0.82379,0.0258559
3675,0.82397,0.0182731
3676,0.82408,0.0101378
3677,0.82386,0.0132885
3678,0.824005,0.0113173
3679,0.824284,0.00902486
3680,0.82475,0.00891122
3681,0.824801,0.00772776
3682,0.824687,0.00744953
3683,0.824758,0.0127398
3684,0.824738,0.012152
3685,0.82484,0.0110077
3686,0.824899,0.00996144
3687,0.824691,0.00762195
3688,0.824883,0.00863299
3689,0.824636,0.00927174
3690,0.824691,0.0100868
3691,0.824574,0.0118464
3692,0.824558,0.0125321
3693,0.824562,0.0118464
3694,0.823222,0.023293
3695,0.823559,0.0207458
3696,0.82388,0.0232734
3697,0.823935,0.0204323
