Frame,QueueDensity,DynamicDensity
0.0666667,0.0780456,0.104591
0.133333,0.0746363,0.0253621
0.2,0.0737115,0.0124107
0.266667,0.0748401,0.021173
0.333333,0.0773559,0.0189275
0.4,0.0785081,0.00801382
0.466667,0.07986,0.0176774
0.533333,0.0797425,0.0173561
0.6,0.0800716,0.0103376
0.666667,0.0786374,0.0226033
0.733333,0.0775284,0.028258
0.8,0.076388,0.0217451
0.866667,0.0760118,0.0212435
0.933333,0.0768152,0.0255228
1,0.07716,0.0260753
1.06667,0.077548,0.0296492
1.13333,0.0783043,0.0296727
1.2,0.0787745,0.0272901
1.26667,0.0798052,0.0284226
1.33333,0.0791938,0.0368675
1.4,0.0796994,0.0339402
1.46667,0.0810788,0.0372084
1.53333,0.0816901,0.0379217
1.6,0.0817959,0.0331957
1.66667,0.0820898,0.0399124
1.73333,0.0844724,0.0447638
1.8,0.0854011,0.0413858
1.86667,0.0876779,0.0441525
1.93333,0.0900488,0.0487335
2,0.0906326,0.0493801
2.06667,0.0914125,0.0502579
2.13333,0.091965,0.0504969
2.2,0.0918553,0.0495133
2.26667,0.0919415,0.0498385
2.33333,0.0925998,0.0521389
2.4,0.0934659,0.0486081
2.46667,0.093556,0.0505126
2.53333,0.0944377,0.04996
2.6,0.0948179,0.0481966
2.66667,0.0948374,0.0508496
2.73333,0.0956369,0.0518214
2.8,0.0961385,0.0486512
2.86667,0.0969536,0.048851
2.93333,0.0976354,0.0498973
3,0.0992617,0.0505478
3.06667,0.0987052,0.0503793
3.13333,0.100206,0.0488471
3.2,0.10061,0.0473266
3.26667,0.100915,0.0476597
3.33333,0.101201,0.047938
3.4,0.101397,0.0461236
3.46667,0.101507,0.0465037
3.53333,0.103016,0.0481496
3.6,0.104011,0.0472522
3.66667,0.105959,0.0488393
3.73333,0.108189,0.0504185
3.8,0.10887,0.0492311
3.86667,0.110074,0.0510024
3.93333,0.111167,0.0529892
4,0.112335,0.0522721
4.06667,0.113663,0.0545998
4.13333,0.113342,0.0555677
4.2,0.112977,0.0530362
4.26667,0.112542,0.0522721
4.33333,0.111508,0.0506105
4.4,0.112527,0.0485728
4.46667,0.112503,0.0480751
4.53333,0.111782,0.0464136
4.6,0.112186,0.0434823
4.66667,0.110587,0.0429416
4.73333,0.110728,0.0431532
4.8,0.11159,0.0424439
4.86667,0.111645,0.0419384
4.93333,0.111049,0.0417463
5,0.110571,0.0406609
5.06667,0.110171,0.0403238
5.13333,0.108898,0.0384977
5.2,0.108506,0.0375807
5.26667,0.108741,0.0375651
5.33333,0.110701,0.0397164
5.4,0.111582,0.0399359
5.46667,0.112832,0.0422911
5.53333,0.113902,0.0433883
5.6,0.11489,0.0441838
5.66667,0.118679,0.0498346
5.73333,0.123064,0.0569667
5.8,0.124636,0.0588164
5.86667,0.129279,0.066744
5.93333,0.132222,0.0748597
6,0.133065,0.0774304
6.06667,0.136513,0.0847232
6.13333,0.139382,0.0901937
6.2,0.140401,0.0904171
6.26667,0.141474,0.0924666
6.33333,0.142893,0.101821
6.4,0.144139,0.100676
6.46667,0.145358,0.102565
6.53333,0.146443,0.105242
6.6,0.146369,0.105457
6.66667,0.14642,0.107091
6.73333,0.147031,0.108404
6.8,0.147207,0.107942
6.86667,0.14778,0.109176
6.93333,0.147654,0.109384
7,0.147497,0.108651
7.06667,0.147474,0.106206
7.13333,0.148947,0.107103
7.2,0.149998,0.105755
7.26667,0.152498,0.10405
7.33333,0.154634,0.104144
7.4,0.15633,0.103941
7.46667,0.158729,0.102209
7.53333,0.160065,0.102056
7.6,0.161601,0.101268
7.66667,0.162659,0.0996693
7.73333,0.164321,0.0999397
7.8,0.164932,0.0995752
7.86667,0.167232,0.101531
7.93333,0.168314,0.102585
8,0.168173,0.101127
8.06667,0.168596,0.102228
8.13333,0.167275,0.101198
8.2,0.167373,0.101456
8.26667,0.167385,0.101711
8.33333,0.167091,0.100496
8.4,0.167542,0.100108
8.46667,0.168173,0.100104
8.53333,0.169388,0.10164
8.6,0.169815,0.101903
8.66667,0.170128,0.10242
8.73333,0.170356,0.103427
8.8,0.171633,0.102597
8.86667,0.171919,0.10226
8.93333,0.172389,0.1032
9,0.172483,0.102479
9.06667,0.17389,0.10311
9.13333,0.174016,0.103204
9.2,0.175579,0.102126
9.26667,0.176473,0.101734
9.33333,0.177057,0.101578
9.4,0.177229,0.101515
9.46667,0.177084,0.101123
9.53333,0.17699,0.100288
9.6,0.177131,0.0984505
9.66667,0.179686,0.100386
9.73333,0.179251,0.099199
9.8,0.179228,0.0986504
9.86667,0.177891,0.0973768
9.93333,0.177245,0.0951901
10,0.177017,0.0939361
10.0667,0.176876,0.0930387
10.1333,0.176461,0.0914948
10.2,0.176249,0.0887242
10.2667,0.175795,0.0870352
10.3333,0.175489,0.0852561
10.4,0.175031,0.0813687
10.4667,0.173373,0.0787353
10.5333,0.171437,0.0756278
10.6,0.170822,0.0727749
10.6667,0.169877,0.0698947
10.7333,0.168909,0.0670261
10.8,0.168796,0.0641106
10.8667,0.167969,0.061438
10.9333,0.166868,0.0589692
11,0.166159,0.057339
11.0667,0.16619,0.0554776
11.1333,0.165912,0.0543216
11.2,0.165492,0.0530323
11.2667,0.164626,0.0509319
11.3333,0.163513,0.0489764
11.4,0.163141,0.0469034
11.4667,0.162734,0.0450498
11.5333,0.161531,0.0434588
11.6,0.161433,0.0425458
11.6667,0.161139,0.0416209
11.7333,0.160884,0.0401436
11.8,0.161397,0.0393246
11.8667,0.160825,0.0379334
11.9333,0.16097,0.0377923
12,0.161511,0.0361112
12.0667,0.16173,0.0362288
12.1333,0.161652,0.0356723
12.2,0.161719,0.0349317
12.2667,0.161734,0.0337051
12.3333,0.161726,0.0324276
12.4,0.161844,0.0310208
12.4667,0.160935,0.0300842
12.5333,0.16097,0.0288694
12.6,0.161092,0.028403
12.6667,0.161244,0.0271334
12.7333,0.16099,0.0260126
12.8,0.160625,0.0250603
12.8667,0.160331,0.0234968
12.9333,0.160508,0.0230226
13,0.163721,0.0241904
13.0667,0.163494,0.0234968
13.1333,0.16356,0.022423
13.2,0.16369,0.0213219
13.2667,0.163498,0.0205734
13.3333,0.163513,0.0196407
13.4,0.163639,0.0189432
13.4667,0.163525,0.0188923
13.5333,0.163568,0.0187198
13.6,0.163803,0.0182104
13.6667,0.164019,0.0179243
13.7333,0.163415,0.0167291
13.8,0.16329,0.0157455
13.8667,0.163392,0.0148755
13.9333,0.163114,0.013696
14,0.163372,0.0129044
14.0667,0.163556,0.0128652
14.1333,0.163588,0.012199
14.2,0.16329,0.0116308
14.2667,0.162765,0.0107844
14.3333,0.162651,0.010032
14.4,0.162299,0.00917377
14.4667,0.162114,0.00856637
14.5333,0.162302,0.00826854
14.6,0.162287,0.00779046
14.6667,0.16349,0.00806869
14.7333,0.163596,0.00727318
14.8,0.163568,0.00686172
14.8667,0.163259,0.00607797
14.9333,0.162777,0.00583109
15,0.1626,0.00571352
15.0667,0.162773,0.00558421
15.1333,0.162933,0.00543138
15.2,0.162792,0.00556069
15.2667,0.162514,0.00567434
15.3333,0.162518,0.00537651
15.4,0.16269,0.00518058
15.4667,0.162671,0.00509436
15.5333,0.163153,0.00532949
15.6,0.163188,0.00551759
15.6667,0.163204,0.00643457
15.7333,0.163067,0.00600351
15.8,0.162718,0.00553718
15.8667,0.162283,0.00510612
15.9333,0.161119,0.004244
16,0.160696,0.00376199
16.0667,0.161092,0.00418522
16.1333,0.162212,0.00632877
16.2,0.162161,0.00659132
16.2667,0.162287,0.0069205
16.3333,0.159814,0.00776303
16.4,0.159493,0.00800599
16.4667,0.159336,0.00772384
16.5333,0.159348,0.00682253
16.6,0.15878,0.00610148
