Frame,QueueDensity,DynamicDensity
6,0.0800292,0.141561
7,0.0806645,0.134573
8,0.0817893,0.146727
9,0.082258,0.122179
10,0.0841223,0.107494
11,0.0860907,0.135354
12,0.0869239,0.109577
13,0.0885383,0.127657
14,0.0915794,0.136343
15,0.0911004,0.0997448
16,0.0931209,0.0915586
17,0.0947977,0.105702
18,0.0954538,0.0638442
19,0.0967765,0.0611779
20,0.0966203,0.0777795
21,0.0965891,0.0700516
22,0.0980368,0.0815498
23,0.0989949,0.0800917
24,0.0998073,0.0839348
25,0.102369,0.0891736
26,0.104536,0.0869656
27,0.105546,0.0932042
28,0.1079,0.08532
29,0.110129,0.101651
30,0.110024,0.0702286
31,0.111264,0.0710722
32,0.112212,0.0882779
33,0.112962,0.0860178
34,0.113222,0.0916419
35,0.113389,0.0931209
36,0.113576,0.0901318
37,0.113961,0.0956101
38,0.115347,0.0983388
39,0.11544,0.104775
40,0.115836,0.102192
41,0.11669,0.101859
42,0.117461,0.0909962
43,0.117825,0.0852783
44,0.118523,0.0847055
45,0.119544,0.114732
46,0.119523,0.129376
47,0.120669,0.130542
48,0.120814,0.138707
49,0.121648,0.118815
50,0.122158,0.11894
51,0.123012,0.114545
52,0.124147,0.112212
53,0.12573,0.117284
54,0.127095,0.110295
55,0.128022,0.0966516
56,0.129438,0.0947456
57,0.130323,0.0817893
58,0.131479,0.0831953
59,0.131813,0.0792168
60,0.132386,0.0850909
61,0.132333,0.0921627
62,0.131927,0.0924022
63,0.131323,0.0901005
64,0.130834,0.0919231
65,0.130126,0.0906108
66,0.130605,0.0337031
67,0.130959,0.035057
68,0.130303,0.0317034
69,0.13073,0.0308702
70,0.130011,0.043764
71,0.131167,0.0421705
72,0.132344,0.0578139
73,0.133573,0.0345259
74,0.134739,0.044743
75,0.135021,0.0347029
76,0.136364,0.0388793
77,0.136874,0.0430141
78,0.13751,0.039723
79,0.139426,0.048305
80,0.14304,0.0454929
81,0.144457,0.0503775
82,0.146915,0.048232
83,0.149237,0.0526272
84,0.151476,0.0571473
85,0.156403,0.0825808
86,0.162152,0.0883716
87,0.164901,0.0996719
88,0.171609,0.106827
89,0.177389,0.117013
90,0.178982,0.113816
91,0.185356,0.0904025
92,0.188596,0.122377
93,0.189356,0.115763
94,0.189741,0.117294
95,0.187919,0.137864
96,0.18971,0.100203
97,0.192043,0.100974
98,0.193012,0.118981
99,0.193626,0.0871426
100,0.193084,0.0933396
101,0.193813,0.0974535
102,0.193178,0.106202
103,0.192782,0.102369
104,0.190689,0.100578
105,0.189512,0.0991928
106,0.187991,0.106296
107,0.1897,0.121366
108,0.189418,0.114659
109,0.191106,0.101838
110,0.193564,0.110806
111,0.195824,0.0962558
112,0.198719,0.100974
113,0.202156,0.111722
114,0.202906,0.105494
115,0.205457,0.105817
116,0.20828,0.10365
117,0.209374,0.103692
118,0.210186,0.108233
119,0.210071,0.120002
120,0.209186,0.137364
121,0.209717,0.143019
122,0.209801,0.148029
123,0.209676,0.151508
