Frame,QueueDensity,DynamicDensity
6,0.0616104,0.0280229
7,0.0652823,0.031009
8,0.0672534,0.0447089
9,0.0685936,0.05083
10,0.0705569,0.0339637
11,0.0712584,0.037616
12,0.071086,0.0391874
13,0.0713603,0.0465115
14,0.0720225,0.0508731
15,0.0721009,0.0679823
16,0.0724418,0.0706275
17,0.0731355,0.060376
18,0.0730728,0.0252289
19,0.0730806,0.0156475
20,0.0729003,0.0505792
21,0.0728964,0.0240885
22,0.0730492,0.0229442
23,0.0726731,0.0176657
24,0.0724183,0.020593
25,0.0722733,0.0128025
26,0.0717717,0.0217216
27,0.0718775,0.0229795
28,0.0716816,0.0259107
29,0.0723909,0.0243275
30,0.0722381,0.015044
31,0.0726613,0.0230735
32,0.0727083,0.0214159
33,0.0728259,0.0211103
34,0.0727357,0.0247194
35,0.0723791,0.0229325
36,0.0729317,0.0233635
37,0.0725241,0.0202403
38,0.0727553,0.0244216
39,0.0728494,0.0275056
40,0.0730375,0.0277408
41,0.0732765,0.0230853
42,0.0736645,0.0235869
43,0.0739819,0.0225406
44,0.074605,0.0222545
45,0.0759178,0.0257971
46,0.0761529,0.0240963
47,0.0761176,0.025656
48,0.076196,0.0243511
49,0.0769837,0.0203618
50,0.0772893,0.0182104
51,0.0777243,0.0153732
52,0.0778536,0.0136294
53,0.0779829,0.0146835
54,0.0782651,0.0154202
55,0.0785903,0.0156044
56,0.0781985,0.0146443
57,0.0781044,0.0166703
58,0.0783043,0.0186062
59,0.0785081,0.0191822
60,0.078512,0.0198406
61,0.0786726,0.020883
62,0.0784767,0.021651
63,0.0783396,0.0203148
64,0.0785472,0.0223368
65,0.078512,0.0227483
66,0.0788411,0.0216589
67,0.0787118,0.0204754
68,0.0784963,0.0218783
69,0.0784336,0.0208203
70,0.0775205,0.0439056
71,0.0775401,0.0249624
72,0.0776146,0.0400378
73,0.077548,0.0264476
74,0.0776342,0.0194487
75,0.0776303,0.0304565
76,0.0773559,0.0255933
77,0.077207,0.0131552
78,0.077113,0.0145777
79,0.0769327,0.0338932
80,0.0769837,0.0136294
81,0.0768073,0.0156162
82,0.0768622,0.0258598
83,0.0770229,0.0286264
84,0.0769523,0.00619945
85,0.0769406,0.0390659
86,0.077211,0.00657565
87,0.0772227,0.0195349
88,0.0772149,0.0266788
89,0.0772423,0.0120972
90,0.0771914,0.00990658
91,0.0773951,0.0316634
92,0.0772972,0.0263261
93,0.077211,0.024884
94,0.0771796,0.025417
95,0.0763449,0.0358526
96,0.0766623,0.0238534
97,0.0765761,0.0330036
98,0.0766898,0.0324707
99,0.0767642,0.0305309
100,0.0767133,0.0235477
101,0.0767289,0.0403552
102,0.076776,0.0309581
103,0.0769445,0.0353745
104,0.0769092,0.0348259
105,0.0770033,0.0432472
106,0.0769758,0.0277486
107,0.0773364,0.0206008
108,0.0781671,0.00163412
109,0.08015,0.00596824
110,0.0821917,0.00698712
111,0.0831361,0.00967929
112,0.0851386,0.00863299
113,0.0869138,0.00550583
114,0.0876387,0.00732413
115,0.0891161,0.00778262
116,0.0902016,0.0101535
117,0.0909892,0.0124459
118,0.0924196,0.0144092
119,0.0932778,0.0145111
120,0.0939557,0.00915026
121,0.0947003,0.0146835
122,0.0954801,0.0149657
123,0.0957819,0.0263496
124,0.0967067,0.0216628
125,0.0976942,0.0228267
126,0.0978353,0.0190804
127,0.0984035,0.0191235
128,0.0993048,0.0164548
129,0.0999592,0.0202364
130,0.101284,0.0249271
131,0.102546,0.0256286
132,0.103282,0.0272744
133,0.103996,0.0237672
134,0.10427,0.0161217
135,0.104744,0.0320827
136,0.105536,0.0390111
137,0.106594,0.0330507
138,0.107111,0.0341636
139,0.107471,0.0400456
140,0.108055,0.0364443
141,0.108741,0.0391365
142,0.108283,0.038051
143,0.10811,0.0405119
144,0.107922,0.0407353
145,0.107307,0.0401906
146,0.107181,0.0424282
147,0.107326,0.0441603
148,0.106421,0.0403003
149,0.106319,0.0390659
150,0.10601,0.0306093
151,0.105422,0.0291633
152,0.10434,0.0328626
153,0.104215,0.0325569
154,0.103678,0.0283207
155,0.10329,0.0293475
156,0.103032,0.0188923
157,0.101946,0.0323884
158,0.101053,0.013069
159,0.100551,0.0264946
160,0.10041,0.0306681
161,0.100143,0.0333367
162,0.0997516,0.0318868
163,0.0991246,0.0316517
164,0.0984505,0.0325138
165,0.0982938,0.0349434
166,0.0977295,0.0309424
167,0.0977961,0.0318672
168,0.0980273,0.0321258
169,0.0976158,0.0302762
170,0.0980469,0.0391208
171,0.0977961,0.0338775
172,0.0975806,0.029947
173,0.0974395,0.0280739
174,0.0975335,0.0262085
175,0.0976629,0.0268982
176,0.0975845,0.0229952
177,0.0971417,0.02093
178,0.0970515,0.0308758
179,0.0966479,0.0236378
180,0.0968243,0.0242531
181,0.096883,0.0328665
182,0.0972005,0.0299117
183,0.0972475,0.0360916
184,0.0976511,0.0322356
185,0.0972631,0.0291319
186,0.0971926,0.0341087
187,0.0970084,0.0291241
188,0.0972436,0.0301155
189,0.0973611,0.0258676
190,0.0976433,0.0282463
191,0.0980312,0.0321494
192,0.0982938,0.032408
193,0.0983251,0.026428
194,0.0982389,0.0230971
195,0.0995556,0.0175716
196,0.0995556,0.01765
197,0.0998965,0.023195
198,0.0998809,0.0236183
199,0.0997516,0.0168623
200,0.0999397,0.00935403
201,0.10001,0.0102514
202,0.100194,0.0104944
203,0.100524,0.0160081
204,0.100594,0.0130808
